species, region
ahli,0
alayoni,0
alfaroi,0
allisoni,0
allogus,0
altitudinalis,0
alutaceus,0
angusticeps,0
argenteolus,0
argillaceus,0
baracoae,0
barbatus,0
bartschi,0
bremeri,0
centralis,0
chamaeleonides,0
clivicola,0
confusus,0
cupeyalensis,0
cyanopleurus,0
equestris,0
guafe,0
guamuhaya,0
guazuma,0
homolechis,0
imias,0
inexpectatus,0
isolepis,0
jubar,0
loysiana,0
lucius,0
luteogularis,0
macilentus,0
mestrei,0
noblei,0
ophiolepis,0
oporinus,0
paternus,0
porcatus,0
porcus,0
pumilis,0
quadriocellifer,0
rubribarbus,0
sagrei,0
smallwoodi,0
vanidicus,0
vermiculatus,0
aliniger,1
alumina,1
armouri,1
bahorucoensis,1
baleatus,1
barahonae,1
barbouri,1
breslini,1
brevirostris,1
caudalis,1
chlorocyanus,1
christophei,1
coelestinus,1
cybotes,1
darlingtoni,1
distichus,1
dolichocephalus,1
etheridgei,1
eugenegrahami,1
fowleri,1
haetianus,1
hendersoni,1
insolitus,1
longitibialis,1
marcanoi,1
marron,1
monticola,1
olssoni,1
placidus,1
ricordii,1
semilineatus,1
sheplani,1
shrevei,1
singularis,1
strahmi,1
websteri,1
whitemani,1
garmani,2
grahami,2
lineatopus,2
opalinus,2
reconditus,2
valencienni,2
cooki,3
cristatellus,3
cuvieri,3
evermanni,3
gundlachi,3
krugi,3
occultus,3
poncensis,3
pulchellus,3
stratulus,3
