Species,pPC 1,pPC 2,pPC 3,pPC 4,pPC 5,pPC 6,pPC 7,pPC 8,pPC 9,pPC 10,pPC 11
ahli,0.311,-0.042,-0.255,0.363,-0.119,0.04,-0.016,0.072,-0.058,-0.01,0.04
alayoni,-0.688,-0.229,-0.102,-0.228,-0.086,0.051,0.033,0,-0.068,-0.001,0.022
alfaroi,0.02,-0.535,0.355,-0.061,-0.057,0.074,0.035,0.037,-0.049,0.009,0.01
aliniger,-0.249,-0.021,-0.09,-0.202,0.057,0.051,-0.001,0.06,-0.022,0.005,-0.008
allisoni,-0.222,0.32,0.147,-0.219,-0.079,-0.019,0.06,0,-0.026,0.002,0.011
allogus,0.273,-0.04,-0.212,0.355,-0.091,-0.029,0.036,0.046,-0.016,-0.015,0.004
altitudinalis,-0.72,-0.199,-0.121,-0.333,-0.003,-0.005,0.028,0.027,-0.059,0.001,0.008
alumina,0.331,-0.482,0.389,-0.105,-0.072,-0.132,0.023,0.064,-0.058,-0.015,0.015
alutaceus,0.185,-0.512,0.34,-0.166,0.002,0.062,0.026,-0.01,-0.038,-0.017,0.004
angusticeps,-0.702,-0.253,0.115,-0.072,0.003,0.018,0.047,0.039,-0.052,-0.012,0.018
argenteolus,0.441,-0.111,-0.21,-0.277,-0.07,-0.02,0.035,-0.004,-0.057,0,0.016
argillaceus,-0.201,-0.301,-0.042,-0.227,-0.055,0.053,0.089,-0.033,-0.034,0.007,0.028
armouri,0.265,0.045,-0.097,0.243,0.035,0.037,0.051,0.019,-0.056,-0.005,-0.003
bahorucoensis,0.345,-0.247,0.236,-0.045,0.039,-0.036,0.034,-0.009,-0.047,-0.021,-0.012
baleatus,0.03,0.988,0.054,0.006,-0.048,-0.086,0.035,0.005,-0.047,0.001,0.004
baracoae,0.084,0.977,0.019,-0.379,0.091,-0.023,-0.04,0.045,-0.017,-0.004,-0.019
barahonae,0.014,1.012,0.046,0.027,0.05,0.002,0.009,0.019,0.001,-0.022,0.003
barbatus,-0.563,0.952,-0.324,0.149,-0.04,-0.013,0.017,0.019,-0.022,0.009,-0.022
barbouri,0.17,-0.404,0.329,0.484,-0.171,-0.073,-0.018,-0.009,-0.006,0.007,0.009
bartschi,0.45,0.199,-0.144,-0.129,-0.014,-0.072,0.039,0.042,-0.061,-0.002,-0.002
bremeri,0.128,0.042,-0.037,0.084,0.01,-0.092,0.025,0.049,-0.038,0.052,-0.014
breslini,0.406,-0.029,0.031,0.315,0.013,-0.019,0.005,-0.011,0.004,-0.022,0.011
brevirostris,0.111,-0.2,-0.342,0.054,-0.039,-0.099,-0.026,0.028,0.005,0.015,0.004
caudalis,-0.016,-0.157,-0.249,0.142,-0.088,0.003,0.035,0.038,-0.033,0.002,-0.007
centralis,-0.26,-0.357,0.136,-0.059,-0.067,-0.075,0.125,0.014,-0.014,0.026,-0.025
chamaeleonides,-0.658,0.993,-0.333,0.088,0.069,0.022,0.007,0.026,0.003,0.03,0.035
chlorocyanus,-0.082,0.214,0.038,-0.319,-0.023,-0.008,0.03,0.068,-0.065,0.03,0
christophei,0.368,-0.197,-0.277,-0.011,0.108,-0.05,-0.018,-0.015,-0.01,0.006,-0.03
clivicola,0.25,-0.314,0.117,0.052,0.122,-0.046,0.02,-0.004,-0.023,0.033,-0.046
coelestinus,-0.029,0.236,0.103,-0.23,0.099,-0.044,0.011,-0.01,0.016,0.01,-0.053
confusus,0.149,-0.136,-0.199,0.144,0.055,-0.064,0.011,0.024,-0.005,0.023,-0.045
cooki,0.292,0.017,0.037,0.038,0.075,-0.056,0.002,0.027,-0.063,-0.005,-0.042
cristatellus,0.211,0.114,-0.168,0.083,-0.026,-0.131,-0.095,-0.052,0.046,-0.015,0.002
cupeyalensis,0.02,-0.597,0.544,-0.047,-0.007,0.088,0.033,-0.005,0.011,-0.03,0.011
cuvieri,0.317,0.8,0.019,0.053,-0.126,0.068,0.034,0.035,-0.006,-0.03,0.002
cyanopleurus,0.353,-0.441,0.423,-0.034,-0.109,0.017,0.084,-0.006,-0.024,-0.048,0.008
cybotes,0.316,0.133,-0.08,0.256,-0.124,0.083,-0.038,-0.024,0.049,-0.014,-0.036
darlingtoni,-0.619,0.254,-0.131,-0.052,0.058,-0.204,-0.065,0.017,0.041,-0.027,-0.005
distichus,0.15,-0.148,-0.406,0.119,-0.132,0.047,-0.061,-0.035,-0.021,-0.022,-0.016
dolichocephalus,0.205,-0.159,0.35,-0.246,0.013,0.02,0.074,0.011,-0.032,-0.009,0.013
equestris,-0.047,1.051,-0.016,-0.291,-0.064,-0.002,0.069,0.01,-0.032,-0.006,0.012
etheridgei,0.619,-0.43,-0.028,0.095,0.029,0.03,0.113,-0.021,0.023,0.006,-0.024
eugenegrahami,0.583,0.04,-0.297,-0.107,-0.078,0.032,0.076,0.002,-0.007,-0.023,0.022
evermanni,0.213,0.09,-0.262,-0.266,-0.011,0.006,0.067,0,-0.055,-0.025,0.005
fowleri,0.343,0.216,0.263,0.184,-0.082,-0.023,0.064,0.027,-0.035,-0.009,0.041
garmani,0.166,0.7,0.085,-0.016,0.132,0.056,0.05,0.019,0.001,0.01,-0.015
grahami,0.151,0.082,-0.15,-0.186,0.173,0.097,0.05,0.007,-0.005,-0.03,0
guafe,0.141,-0.197,-0.244,0.162,-0.012,-0.01,0.059,-0.016,-0.009,-0.005,0.001
guamuhaya,-0.508,0.984,-0.275,-0.073,0.03,-0.029,0.054,0.033,-0.027,0.013,-0.004
guazuma,-1.244,-0.263,-0.046,-0.146,-0.007,0.005,0.039,0.018,-0.009,0.038,-0.003
gundlachi,0.412,0.107,-0.02,0.409,-0.067,-0.037,0.047,-0.002,0.016,0.037,-0.004
haetianus,0.431,0.235,-0.034,0.273,0.02,-0.02,0.031,0.011,0.001,0.009,-0.012
hendersoni,0.297,-0.211,0.317,-0.186,-0.038,-0.147,0.049,-0.047,-0.033,0.018,-0.004
homolechis,0.144,-0.041,-0.201,0.139,0.063,-0.01,-0.051,-0.022,0.025,0,0.002
imias,0.287,0.021,-0.199,0.305,-0.08,-0.064,0.078,-0.007,-0.013,0.008,0.014
inexpectatus,0.137,-0.526,0.489,-0.174,-0.039,-0.063,-0.029,0.029,0.036,0.014,0.022
insolitus,-0.775,-0.242,-0.033,0.132,-0.087,-0.055,-0.033,0.029,0.031,0.014,0.017
